Multiplicity,Summarized Transverse Momentum,Spectators Energy Deposition,Multiplicity of soft particles,Multiplicity of hard particles,Impact Parameter
101,38.4612,78.5225,28,19,0
37,17.3483,201.995,7,12,2
4,0.612025,258.213,2,0,2
13,5.0464,243.787,1,4,2
4,0.728879,266.791,2,0,2
46,15.0975,130.741,16,9,1
11,3.75206,261.023,6,2,2
18,9.09095,209.537,4,2,2
42,18.6224,142.075,9,7,1
11,2.69189,259.66,7,0,2
43,18.3079,120.544,11,8,1
17,6.92391,223.459,4,3,2
44,18.1301,190.213,9,8,2
31,14.2976,176.645,5,7,2
59,21.7354,112.701,12,11,1
26,10.7234,216.735,7,3,2
55,19.8041,150.482,18,9,1
9,5.00086,220.529,4,1,2
15,5.01209,231.311,5,1,2
14,6.22194,255.207,4,0,2
12,6.20669,232.49,1,4,2
94,36.516,68.933,23,22,0
34,10.4293,230.186,12,7,2
50,22.9559,181.563,10,7,1
74,31.1529,99.3203,13,14,1
17,7.49514,173.07,6,2,2
17,5.38966,233.969,6,3,2
26,14.699,185.474,4,5,2
117,45.1856,22.4359,33,23,0
118,45.4451,45.6966,33,24,0
16,6.47562,250.384,3,1,2
20,9.4502,216.831,3,5,2
15,7.66607,194.031,2,4,2
120,52.3662,62.5407,29,27,0
22,8.65692,192.009,6,8,2
115,53.5511,72.796,24,24,0
14,5.96326,240.656,5,2,2
9,3.59186,260.015,3,2,2
16,4.49244,205.093,6,5,2
16,5.43227,235.373,5,2,2
85,36.3095,80.0143,22,20,0
26,10.8714,198.752,6,1,2
45,18.4651,172.192,14,5,2
51,20.3159,155.532,10,8,1
13,7.35482,213.583,2,1,2
33,16.3351,128.263,5,6,1
79,36.9808,70.1037,21,12,0
12,2.99119,199.707,6,0,2
79,35.7019,98.5198,16,11,1
18,6.03396,225.24,5,2,2
42,18.3411,140.279,11,12,2
6,2.55118,218.839,1,0,2
13,5.6477,246.297,2,3,2
75,31.4928,154.038,17,13,1
2,0.864072,262.589,1,0,2
18,8.53316,219.118,5,4,2
26,9.48742,158.823,5,4,2
74,26.8666,147.092,22,15,1
16,5.82694,246.538,3,6,2
10,3.34058,190.809,3,1,2
20,9.11219,224.883,5,6,2
29,12.6348,187.166,7,2,1
96,39.9442,91.1352,22,20,0
78,27.7276,101.275,23,18,1
8,3.23923,238.152,2,1,2
30,11.9908,192.717,7,8,1
45,19.2771,146.926,11,6,1
123,52.8572,47.9503,29,25,0
2,0.809699,266.313,0,1,2
10,3.34002,244.061,3,1,2
16,6.71383,220.592,5,2,2
3,1.58223,256.599,0,0,2
33,16.2864,193.105,3,6,2
80,34.3416,91.5997,13,21,1
6,1.5823,241.482,2,1,2
112,42.7194,56.4122,29,24,0
31,10.2531,220.442,10,3,2
20,7.47301,198.555,4,2,2
6,2.60011,264.074,1,3,2
30,12.7166,224.851,9,7,2
30,11.5749,174.796,6,5,1
14,5.85337,241.556,3,1,2
39,16.386,198.737,10,6,2
8,3.70924,229.221,2,2,2
97,40.4552,52.0127,22,20,0
61,25.9514,127.95,14,10,1
60,29.3347,124.531,10,13,1
17,8.35791,233.347,5,2,2
28,12.2942,185.594,8,4,2
78,32.7163,95.3156,17,18,1
55,22.5822,151.298,14,8,2
1,0.223674,265.286,0,0,2
8,5.95519,242.518,1,1,2
94,34.5051,125.761,25,14,1
3,2.09537,264.681,0,0,2
89,38.9001,91.6993,18,13,1
67,25.8656,83.3917,20,22,1
86,29.7768,57.9592,24,21,0
62,21.7313,161.072,19,14,1
42,16.8522,162.952,9,8,1
16,7.82344,209.636,3,2,2
31,13.3575,164.648,10,5,2
73,29.6517,74.9832,12,16,1
1,0.324582,267.252,0,0,2
62,27.4095,99.5795,17,18,1
9,2.1922,252.718,3,2,2
14,6.08949,228.239,3,5,2
46,22.6609,149.199,11,8,1
61,27.0186,118.385,13,14,1
7,3.06333,254.546,2,0,2
20,9.00829,188.168,5,5,2
31,12.8151,224.258,5,4,2
28,9.61371,199.719,10,5,2
11,4.59486,249.309,2,4,2
115,47.2485,43.2789,28,18,0
35,12.5551,181.621,12,6,2
18,6.28968,205.171,5,5,2
105,43.8096,73.4785,31,21,1
34,13.0987,188.605,9,5,2
18,7.34738,240.544,4,3,2
2,1.90918,239.219,0,0,2
11,4.10941,264.069,1,2,2
19,7.12684,210.544,4,1,2
22,7.16893,206.461,8,5,2
8,2.75522,253.378,2,2,2
33,12.3544,172.725,8,6,2
17,7.62654,229.445,3,1,2
18,8.68421,204.985,5,2,2
77,32.1948,97.2488,18,20,0
26,11.9173,203.247,5,4,1
119,48.4348,39.6059,32,27,0
10,4.67743,221.954,2,2,2
41,19.5069,162.736,7,7,2
32,11.9004,197.477,9,3,2
